Flow ID,Start Edge ID,End Edge ID,Flow Length,Start From Lat,Start From Lon,Start To Lat,Start To Lon,End From Lat,End From Lon,End To Lat,End To Lon,Random_const,Gamma,Gamma_agg,Gamma_norm,Start Count,End Count
4_1,-134810311#1,1107330354#5,29,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10567667985701,16.85350139992,41.10655366468042,16.85214501267212,0.7086112274215345,0.024434869911087394,0.8386379413143996,0.029136375433706892,17.0,0.0
4_2,-134810311#1,1159706696,16,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10888943814199,16.85603017646436,41.10939348647096,16.855007437640243,0.7240924305086344,0.04525577690678965,0.8386379413143996,0.05396342650066624,17.0,0.0
4_3,-134810311#1,1167944482#6,26,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10760995155661,16.857018182751133,41.107409312693626,16.8583053565791,0.5191081970972775,0.01996569988835683,0.8386379413143996,0.02380729383297938,17.0,0.0
4_4,-134810311#1,1226715337#1,14,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.1076655501806,16.853482677393657,41.1076459918036,16.85339947923006,0.7092239318194142,0.0506588522728153,0.8386379413143996,0.06040610587379047,17.0,0.0
4_5,-134810311#1,1226715337#3,11,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10745802857694,16.853291775558137,41.1073338131884,16.85340951411772,0.7693785039702783,0.0699435003609344,0.8386379413143996,0.0834013069469666,17.0,0.0
4_6,-134810311#1,1226715337#5,14,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10734707485234,16.853676884182715,41.10746982861199,16.853767510732208,0.5514243997437158,0.03938745712455113,0.8386379413143996,0.04696598518166142,17.0,0.0
4_7,-134810311#1,129127808-AddedOnRampEdge,17,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10887945860232,16.855291051507262,41.10861173431363,16.854213003321295,0.9407013209672536,0.05533537182160315,0.8386379413143996,0.06598243305672036,17.0,0.0
4_8,-134810311#1,134810311#1,4,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.1069737608908,16.8478332074144,41.106150407173736,16.839447730868756,0.774891193984228,0.193722798496057,0.8386379413143996,0.23099694033927765,17.0,0.0
4_9,-134810311#1,147036178,12,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10357239370584,16.849347341324286,41.10397951428041,16.847630876135593,0.8884402230146862,0.07403668525122384,0.8386379413143996,0.08828206023589386,17.0,0.0
4_10,-134810311#1,173765024,28,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.107787793577664,16.858261368905033,41.10843939498842,16.85693747474272,0.8061646783477168,0.028791595655275597,0.8386379413143996,0.03433137738813778,17.0,0.0
4_11,-134810311#1,25817299#2,12,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10357239370584,16.849347341324286,41.10403927028676,16.849306737173062,0.7932494201156204,0.06610411834296837,0.8386379413143996,0.07882319066004001,17.0,0.0
4_12,-134810311#1,30002087#1,28,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.107317336305385,16.858674438324883,41.10722590625396,16.85936114348573,0.9839610832547172,0.03514146725909704,0.8386379413143996,0.04190302576105693,17.0,0.0
4_13,-134810311#1,380822316#2-AddedOnRampEdge,16,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.106763993263314,16.853544489327305,41.10586575211826,16.853629734176355,0.9941226952130379,0.06213266845081487,0.8386379413143996,0.07408759536139536,17.0,0.0
4_14,-134810311#1,559495124#8,27,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.104058750589815,16.85390531064681,41.104854405575175,16.85383635754744,0.6200134012116266,0.022963459304134317,0.8386379413143996,0.027381851181385405,17.0,0.0
4_15,-134810311#1,794480007#1,27,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.104241848915706,16.852339159437378,41.10301262752712,16.852438574025896,0.5043331546686347,0.01867900572846795,0.8386379413143996,0.022273027260360165,17.0,0.0
4_16,-134810311#1,96606445#0,43,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.1020049738588,16.856644941095766,41.10326561352771,16.856379181688784,0.6113832994532329,0.014218216266354253,0.8386379413143996,0.016953938721243643,17.0,0.0
4_17,-134810311#1,96606456#2,45,41.106150407173736,16.839447730868756,41.1069737608908,16.8478332074144,41.10326307854501,16.856240261410846,41.1020049738588,16.856644941095766,0.8039879223240831,0.017866398273868513,0.8386379413143996,0.02130406626471783,17.0,0.0
