datetime,free_flow_speed,traffic_speed,density_factor,number_of_vehicles,points
2024-07-01T07:00:00+02:00,8.978313253012049,8.189010989010988,1.0963855421686748,49,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T08:00:00+02:00,8.978313253012049,7.3782178217821786,1.216867469879518,55,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T09:00:00+02:00,8.978313253012049,7.452,1.2048192771084338,54,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T10:00:00+02:00,8.978313253012049,7.682474226804124,1.1686746987951808,53,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T13:00:00+02:00,8.978313253012049,7.7625,1.1566265060240963,52,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T14:00:00+02:00,8.978313253012049,7.7625,1.1566265060240963,52,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T15:00:00+02:00,8.978313253012049,7.682474226804124,1.1686746987951808,53,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T18:00:00+02:00,8.978313253012049,7.452,1.2048192771084338,54,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T19:00:00+02:00,8.978313253012049,7.682474226804124,1.1686746987951808,53,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T20:00:00+02:00,8.978313253012049,8.01290322580645,1.1204819277108435,50,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
2024-07-01T21:00:00+02:00,8.978313253012049,8.373033707865169,1.072289156626506,48,"[{'latitude': 41.10061, 'longitude': 16.87262}, {'latitude': 41.10061, 'longitude': 16.87193}, {'latitude': 41.10061, 'longitude': 16.87145}, {'latitude': 41.10054, 'longitude': 16.87144}, {'latitude': 41.10054, 'longitude': 16.87149}]"
