0_0,-114953453#6,-131752097#1,29
0_1,-114953453#6,-25654991#0,17
0_2,-114953453#6,-33831688,36
0_3,-114953453#6,-48874524,29
0_4,-114953453#6,-50077954,22
0_5,-114953453#6,-50370694#0,28
0_6,-114953453#6,114953453#6,2
0_7,-114953453#6,1223050325#0,19
0_8,-114953453#6,1223050326,18
0_9,-114953453#6,1226960836#1,19
0_10,-114953453#6,131750844#7,22
0_11,-114953453#6,131750844#8,23
0_12,-114953453#6,131750844#9,24
0_13,-114953453#6,131750850#0,24
0_14,-114953453#6,131750853#0,21
0_15,-114953453#6,131750853#2,23
0_16,-114953453#6,131752095#2,17
0_17,-114953453#6,25817423#3,10
0_18,-114953453#6,25817735#2,42
0_19,-114953453#6,25819014#1,23
0_20,-114953453#6,25819014#2,24
0_21,-114953453#6,25819177#2,14
0_22,-114953453#6,25819177#3,15
0_23,-114953453#6,25819177#5,17
0_24,-114953453#6,28279138#5,28
0_25,-114953453#6,28921528#2,22
0_26,-114953453#6,28921528#8,15
0_27,-114953453#6,30672980#0,14
0_28,-114953453#6,30672980#6,17
0_29,-114953453#6,30673346,2
0_30,-114953453#6,30674315#11,32
0_31,-114953453#6,30674315#8,30
0_32,-114953453#6,30674315#9,31
0_33,-114953453#6,30674359#4,34
0_34,-114953453#6,30674359#5,35
0_35,-114953453#6,30674385#2,29
0_36,-114953453#6,30674948,29
0_37,-114953453#6,30675059#0,19
0_38,-114953453#6,30675059#1,20
0_39,-114953453#6,33831688,37
0_40,-114953453#6,48563895#1,16
0_41,-114953453#6,48563902#0,26
0_42,-114953453#6,48874527#2,19
0_43,-114953453#6,50077954,23
0_44,-114953453#6,96606465,27
0_45,-25817735#3,-131752097#1,9
0_46,-25817735#3,-25654991#0,21
0_47,-25817735#3,-33831688,16
0_48,-25817735#3,-48874524,40
0_49,-25817735#3,-50077954,26
0_50,-25817735#3,-50370694#0,10
0_51,-25817735#3,114953453#6,18
0_52,-25817735#3,1223050325#0,26
0_53,-25817735#3,1223050326,25
0_54,-25817735#3,1226960836#1,23
0_55,-25817735#3,131750844#7,15
0_56,-25817735#3,131750844#8,16
0_57,-25817735#3,131750844#9,17
0_58,-25817735#3,131750850#0,31
0_59,-25817735#3,131750853#0,28
0_60,-25817735#3,131750853#2,30
0_61,-25817735#3,131752095#2,21
0_62,-25817735#3,25817423#3,14
