3_0,-1207872176,-151505951,25
3_1,-1207872176,-173680979#2,24
3_2,-1207872176,-31785293,5
3_3,-1207872176,-431858308,4
3_4,-1207872176,-50370685,25
3_5,-1207872176,-794480008,16
3_6,-1207872176,-95637907,27
3_7,-1207872176,101269230#2,32
3_8,-1207872176,108634758#0,28
3_9,-1207872176,1157760112#1,11
3_10,-1207872176,1157760112#1-AddedOffRampEdge,12
3_11,-1207872176,1157760112#1-AddedOnRampEdge,10
3_12,-1207872176,1158669976,10
3_13,-1207872176,1177928034#2,5
3_14,-1207872176,1177928034#4,7
3_15,-1207872176,1177928034#6,9
3_16,-1207872176,1177928034#7,10
3_17,-1207872176,1177928034#9,12
3_18,-1207872176,1207872176,2
3_19,-1207872176,1211804126,25
3_20,-1207872176,1223054104#0,33
3_21,-1207872176,1223054104#2,35
3_22,-1207872176,128617366#1,39
3_23,-1207872176,129127803#6,7
3_24,-1207872176,159344785#0,20
3_25,-1207872176,159344785#2,22
3_26,-1207872176,25817392#11,19
3_27,-1207872176,25838210#1,28
3_28,-1207872176,27237138,7
3_29,-1207872176,30673027,10
3_30,-1207872176,31785294,6
3_31,-1207872176,416563917#2,23
3_32,-1207872176,431858310,3
3_33,-1207872176,48563895#5,33
3_34,-1207872176,559456673#1,7
3_35,-1207872176,559456673#3,9
3_36,-1207872176,559456673#4,10
3_37,-1207872176,559495119#0,18
3_38,-1207872176,559495119#2,17
3_39,-1207872176,559495119#4,15
3_40,-1207872176,559495121#3,19
3_41,-1207872176,559495121#6,22
3_42,-1207872176,559495121#9,25
3_43,-1207872176,577223393#0,37
3_44,-1207872176,577223393#2,39
3_45,-1207872176,577223395,36
3_46,-129127803#6,-151505951,30
3_47,-129127803#6,-173680979#2,29
3_48,-129127803#6,-31785293,4
3_49,-129127803#6,-431858308,5
3_50,-129127803#6,-50370685,30
3_51,-129127803#6,-794480008,21
3_52,-129127803#6,-95637907,32
3_53,-129127803#6,101269230#2,37
3_54,-129127803#6,108634758#0,33
3_55,-129127803#6,1157760112#1,16
3_56,-129127803#6,1157760112#1-AddedOffRampEdge,17
3_57,-129127803#6,1157760112#1-AddedOnRampEdge,15
3_58,-129127803#6,1158669976,15
3_59,-129127803#6,1177928034#2,10
3_60,-129127803#6,1177928034#4,12
3_61,-129127803#6,1177928034#6,14
3_62,-129127803#6,1177928034#7,15
3_63,-129127803#6,1177928034#9,17
3_64,-129127803#6,1207872176,7
3_65,-129127803#6,1211804126,30
3_66,-129127803#6,1223054104#0,38
3_67,-129127803#6,1223054104#2,40
3_68,-129127803#6,128617366#1,44
3_69,-129127803#6,129127803#6,2
3_70,-129127803#6,159344785#0,25
3_71,-129127803#6,159344785#2,27
3_72,-129127803#6,25817392#11,24
3_73,-129127803#6,25838210#1,33
3_74,-129127803#6,27237138,2
3_75,-129127803#6,30673027,15
3_76,-129127803#6,31785294,3
3_77,-129127803#6,416563917#2,28
3_78,-129127803#6,431858310,6
3_79,-129127803#6,48563895#5,38
3_80,-129127803#6,559456673#1,12
3_81,-129127803#6,559456673#3,14
3_82,-129127803#6,559456673#4,15
3_83,-129127803#6,559495119#0,23
3_84,-129127803#6,559495119#2,22
3_85,-129127803#6,559495119#4,20
3_86,-129127803#6,559495121#3,24
3_87,-129127803#6,559495121#6,27
3_88,-129127803#6,559495121#9,30
3_89,-129127803#6,577223393#0,42
3_90,-129127803#6,577223393#2,44
3_91,-129127803#6,577223395,41
3_92,-151503393,-151505951,30
3_93,-151503393,-173680979#2,29
3_94,-151503393,-31785293,24
3_95,-151503393,-431858308,23
3_96,-151503393,-50370685,22
3_97,-151503393,-794480008,14
3_98,-151503393,-95637907,3
3_99,-151503393,101269230#2,29
3_100,-151503393,108634758#0,25
3_101,-151503393,1157760112#1,16
