5_0,-25654899,-1135075614#0
5_1,-25654899,-1135075615#1
5_2,-25654899,-1296042207
5_3,-25654899,-25654678
5_4,-25654899,-96606441#0
5_5,-25654899,134805760#4
5_6,-25654899,138440000#1
5_7,-25654899,138440000#2
5_8,-25654899,138440000#5
5_9,-25654899,25634744#1
5_10,-25654899,25654663#3
5_11,-25654899,25654667#0
5_12,-25654899,25654667#2
5_13,-25654899,25654670#0
5_14,-25654899,25654670#2
5_15,-25654899,25654899
5_16,-25654899,25654998#1
5_17,-25654899,25654998#2
5_18,-25654899,25655001#4
5_19,-25654899,25655018#2
5_20,-25654899,25655054#5
5_21,-25654899,295699555
5_22,-25654899,30002092#1
5_23,-25654899,30706585#8
5_24,-25654899,30706669
5_25,-25654899,30706677#5
5_26,-25654899,318933773#10
5_27,-25654899,50319918#2
5_28,-25654899,50319918#3
5_29,-25654899,50319918#7
5_30,-25654899,565496546#1
5_31,-25654899,96606441#0
5_32,-25655018#2,-1135075614#0
5_33,-25655018#2,-1135075615#1
5_34,-25655018#2,-1296042207
5_35,-25655018#2,-25654678
5_36,-25655018#2,-96606441#0
5_37,-25655018#2,134805760#4
5_38,-25655018#2,138440000#1
5_39,-25655018#2,138440000#2
5_40,-25655018#2,138440000#5
5_41,-25655018#2,25634744#1
5_42,-25655018#2,25654663#3
5_43,-25655018#2,25654667#0
5_44,-25655018#2,25654667#2
5_45,-25655018#2,25654670#0
5_46,-25655018#2,25654670#2
5_47,-25655018#2,25654899
5_48,-25655018#2,25654998#1
5_49,-25655018#2,25654998#2
5_50,-25655018#2,25655001#4
5_51,-25655018#2,25655018#2
5_52,-25655018#2,25655054#5
5_53,-25655018#2,295699555
5_54,-25655018#2,30002092#1
5_55,-25655018#2,30706585#8
5_56,-25655018#2,30706669
5_57,-25655018#2,30706677#5
5_58,-25655018#2,318933773#10
5_59,-25655018#2,50319918#2
5_60,-25655018#2,50319918#3
5_61,-25655018#2,50319918#7
5_62,-25655018#2,565496546#1
5_63,-25655018#2,96606441#0
5_64,-295699555,-1135075614#0
5_65,-295699555,-1135075615#1
5_66,-295699555,-1296042207
5_67,-295699555,-25654678
5_68,-295699555,-96606441#0
5_69,-295699555,134805760#4
5_70,-295699555,138440000#1
5_71,-295699555,138440000#2
5_72,-295699555,138440000#5
5_73,-295699555,25634744#1
5_74,-295699555,25654663#3
5_75,-295699555,25654667#0
5_76,-295699555,25654667#2
5_77,-295699555,25654670#0
5_78,-295699555,25654670#2
5_79,-295699555,25654899
5_80,-295699555,25654998#1
5_81,-295699555,25654998#2
5_82,-295699555,25655001#4
5_83,-295699555,25655018#2
5_84,-295699555,25655054#5
5_85,-295699555,295699555
5_86,-295699555,30002092#1
5_87,-295699555,30706585#8
5_88,-295699555,30706669
5_89,-295699555,30706677#5
5_90,-295699555,318933773#10
5_91,-295699555,50319918#2
5_92,-295699555,50319918#3
5_93,-295699555,50319918#7
5_94,-295699555,565496546#1
5_95,-295699555,96606441#0
5_96,1135075614#0,-1135075614#0
5_97,1135075614#0,-1135075615#1
5_98,1135075614#0,-1296042207
5_99,1135075614#0,-25654678
5_100,1135075614#0,-96606441#0
5_101,1135075614#0,134805760#4
5_102,1135075614#0,138440000#1
5_103,1135075614#0,138440000#2
5_104,1135075614#0,138440000#5
5_105,1135075614#0,25634744#1
5_106,1135075614#0,25654663#3
5_107,1135075614#0,25654667#0
5_108,1135075614#0,25654667#2
5_109,1135075614#0,25654670#0
5_110,1135075614#0,25654670#2
5_111,1135075614#0,25654899
5_112,1135075614#0,25654998#1
5_113,1135075614#0,25654998#2
5_114,1135075614#0,25655001#4
5_115,1135075614#0,25655018#2
5_116,1135075614#0,25655054#5
5_117,1135075614#0,295699555
5_118,1135075614#0,30002092#1
5_119,1135075614#0,30706585#8
5_120,1135075614#0,30706669
5_121,1135075614#0,30706677#5
5_122,1135075614#0,318933773#10
5_123,1135075614#0,50319918#2
5_124,1135075614#0,50319918#3
5_125,1135075614#0,50319918#7
5_126,1135075614#0,565496546#1
5_127,1135075614#0,96606441#0
5_128,1135075615#1,-1135075614#0
5_129,1135075615#1,-1135075615#1
5_130,1135075615#1,-1296042207
5_131,1135075615#1,-25654678
5_132,1135075615#1,-96606441#0
5_133,1135075615#1,134805760#4
5_134,1135075615#1,138440000#1
5_135,1135075615#1,138440000#2
5_136,1135075615#1,138440000#5
5_137,1135075615#1,25634744#1
5_138,1135075615#1,25654663#3
5_139,1135075615#1,25654667#0
5_140,1135075615#1,25654667#2
5_141,1135075615#1,25654670#0
5_142,1135075615#1,25654670#2
5_143,1135075615#1,25654899
5_144,1135075615#1,25654998#1
5_145,1135075615#1,25654998#2
5_146,1135075615#1,25655001#4
5_147,1135075615#1,25655018#2
5_148,1135075615#1,25655054#5
5_149,1135075615#1,295699555
5_150,1135075615#1,30002092#1
5_151,1135075615#1,30706585#8
5_152,1135075615#1,30706669
5_153,1135075615#1,30706677#5
5_154,1135075615#1,318933773#10
5_155,1135075615#1,50319918#2
5_156,1135075615#1,50319918#3
5_157,1135075615#1,50319918#7
5_158,1135075615#1,565496546#1
5_159,1135075615#1,96606441#0
5_160,1296042207,-1135075614#0
5_161,1296042207,-1135075615#1
5_162,1296042207,-1296042207
5_163,1296042207,-25654678
5_164,1296042207,-96606441#0
5_165,1296042207,134805760#4
5_166,1296042207,138440000#1
5_167,1296042207,138440000#2
5_168,1296042207,138440000#5
5_169,1296042207,25634744#1
5_170,1296042207,25654663#3
5_171,1296042207,25654667#0
5_172,1296042207,25654667#2
5_173,1296042207,25654670#0
5_174,1296042207,25654670#2
5_175,1296042207,25654899
5_176,1296042207,25654998#1
5_177,1296042207,25654998#2
5_178,1296042207,25655001#4
5_179,1296042207,25655018#2
5_180,1296042207,25655054#5
5_181,1296042207,295699555
5_182,1296042207,30002092#1
5_183,1296042207,30706585#8
5_184,1296042207,30706669
5_185,1296042207,30706677#5
5_186,1296042207,318933773#10
5_187,1296042207,50319918#2
5_188,1296042207,50319918#3
5_189,1296042207,50319918#7
5_190,1296042207,565496546#1
5_191,1296042207,96606441#0
5_192,134805760#0,-1135075614#0
5_193,134805760#0,-1135075615#1
5_194,134805760#0,-1296042207
5_195,134805760#0,-25654678
5_196,134805760#0,-96606441#0
5_197,134805760#0,134805760#4
5_198,134805760#0,138440000#1
5_199,134805760#0,138440000#2
5_200,134805760#0,138440000#5
5_201,134805760#0,25634744#1
5_202,134805760#0,25654663#3
5_203,134805760#0,25654667#0
5_204,134805760#0,25654667#2
5_205,134805760#0,25654670#0
5_206,134805760#0,25654670#2
5_207,134805760#0,25654899
5_208,134805760#0,25654998#1
5_209,134805760#0,25654998#2
5_210,134805760#0,25655001#4
5_211,134805760#0,25655018#2
5_212,134805760#0,25655054#5
5_213,134805760#0,295699555
5_214,134805760#0,30002092#1
5_215,134805760#0,30706585#8
5_216,134805760#0,30706669
5_217,134805760#0,30706677#5
5_218,134805760#0,318933773#10
5_219,134805760#0,50319918#2
5_220,134805760#0,50319918#3
5_221,134805760#0,50319918#7
5_222,134805760#0,565496546#1
5_223,134805760#0,96606441#0
5_224,134805760#2,-1135075614#0
5_225,134805760#2,-1135075615#1
5_226,134805760#2,-1296042207
5_227,134805760#2,-25654678
5_228,134805760#2,-96606441#0
5_229,134805760#2,134805760#4
5_230,134805760#2,138440000#1
5_231,134805760#2,138440000#2
5_232,134805760#2,138440000#5
5_233,134805760#2,25634744#1
5_234,134805760#2,25654663#3
5_235,134805760#2,25654667#0
5_236,134805760#2,25654667#2
5_237,134805760#2,25654670#0
5_238,134805760#2,25654670#2
5_239,134805760#2,25654899
5_240,134805760#2,25654998#1
5_241,134805760#2,25654998#2
5_242,134805760#2,25655001#4
5_243,134805760#2,25655018#2
5_244,134805760#2,25655054#5
5_245,134805760#2,295699555
5_246,134805760#2,30002092#1
5_247,134805760#2,30706585#8
5_248,134805760#2,30706669
5_249,134805760#2,30706677#5
5_250,134805760#2,318933773#10
5_251,134805760#2,50319918#2
5_252,134805760#2,50319918#3
5_253,134805760#2,50319918#7
5_254,134805760#2,565496546#1
5_255,134805760#2,96606441#0
5_256,138439992#1,-1135075614#0
5_257,138439992#1,-1135075615#1
5_258,138439992#1,-1296042207
5_259,138439992#1,-25654678
5_260,138439992#1,-96606441#0
5_261,138439992#1,134805760#4
5_262,138439992#1,138440000#1
5_263,138439992#1,138440000#2
5_264,138439992#1,138440000#5
5_265,138439992#1,25634744#1
5_266,138439992#1,25654663#3
5_267,138439992#1,25654667#0
5_268,138439992#1,25654667#2
5_269,138439992#1,25654670#0
5_270,138439992#1,25654670#2
5_271,138439992#1,25654899
5_272,138439992#1,25654998#1
5_273,138439992#1,25654998#2
5_274,138439992#1,25655001#4
5_275,138439992#1,25655018#2
5_276,138439992#1,25655054#5
5_277,138439992#1,295699555
5_278,138439992#1,30002092#1
5_279,138439992#1,30706585#8
5_280,138439992#1,30706669
5_281,138439992#1,30706677#5
5_282,138439992#1,318933773#10
5_283,138439992#1,50319918#2
5_284,138439992#1,50319918#3
5_285,138439992#1,50319918#7
5_286,138439992#1,565496546#1
5_287,138439992#1,96606441#0
5_288,138440000#4,-1135075614#0
5_289,138440000#4,-1135075615#1
5_290,138440000#4,-1296042207
5_291,138440000#4,-25654678
5_292,138440000#4,-96606441#0
5_293,138440000#4,134805760#4
5_294,138440000#4,138440000#1
5_295,138440000#4,138440000#2
5_296,138440000#4,138440000#5
5_297,138440000#4,25634744#1
5_298,138440000#4,25654663#3
5_299,138440000#4,25654667#0
5_300,138440000#4,25654667#2
5_301,138440000#4,25654670#0
5_302,138440000#4,25654670#2
5_303,138440000#4,25654899
5_304,138440000#4,25654998#1
5_305,138440000#4,25654998#2
5_306,138440000#4,25655001#4
5_307,138440000#4,25655018#2
5_308,138440000#4,25655054#5
5_309,138440000#4,295699555
5_310,138440000#4,30002092#1
5_311,138440000#4,30706585#8
5_312,138440000#4,30706669
5_313,138440000#4,30706677#5
5_314,138440000#4,318933773#10
5_315,138440000#4,50319918#2
5_316,138440000#4,50319918#3
5_317,138440000#4,50319918#7
5_318,138440000#4,565496546#1
5_319,138440000#4,96606441#0
5_320,138440000#5,-1135075614#0
5_321,138440000#5,-1135075615#1
5_322,138440000#5,-1296042207
5_323,138440000#5,-25654678
5_324,138440000#5,-96606441#0
5_325,138440000#5,134805760#4
5_326,138440000#5,138440000#1
5_327,138440000#5,138440000#2
5_328,138440000#5,25634744#1
5_329,138440000#5,25654663#3
5_330,138440000#5,25654667#0
5_331,138440000#5,25654667#2
5_332,138440000#5,25654670#0
5_333,138440000#5,25654670#2
5_334,138440000#5,25654899
5_335,138440000#5,25654998#1
5_336,138440000#5,25654998#2
5_337,138440000#5,25655001#4
5_338,138440000#5,25655018#2
5_339,138440000#5,25655054#5
5_340,138440000#5,295699555
5_341,138440000#5,30002092#1
5_342,138440000#5,30706585#8
5_343,138440000#5,30706669
5_344,138440000#5,30706677#5
5_345,138440000#5,318933773#10
5_346,138440000#5,50319918#2
5_347,138440000#5,50319918#3
5_348,138440000#5,50319918#7
5_349,138440000#5,565496546#1
5_350,138440000#5,96606441#0
5_351,138440000#7,-1135075614#0
5_352,138440000#7,-1135075615#1
5_353,138440000#7,-1296042207
5_354,138440000#7,-25654678
5_355,138440000#7,-96606441#0
5_356,138440000#7,134805760#4
5_357,138440000#7,138440000#1
5_358,138440000#7,138440000#2
5_359,138440000#7,138440000#5
5_360,138440000#7,25634744#1
5_361,138440000#7,25654663#3
5_362,138440000#7,25654667#0
5_363,138440000#7,25654667#2
5_364,138440000#7,25654670#0
5_365,138440000#7,25654670#2
5_366,138440000#7,25654899
5_367,138440000#7,25654998#1
5_368,138440000#7,25654998#2
5_369,138440000#7,25655001#4
5_370,138440000#7,25655018#2
5_371,138440000#7,25655054#5
5_372,138440000#7,295699555
5_373,138440000#7,30002092#1
5_374,138440000#7,30706585#8
5_375,138440000#7,30706669
5_376,138440000#7,30706677#5
5_377,138440000#7,318933773#10
5_378,138440000#7,50319918#2
5_379,138440000#7,50319918#3
5_380,138440000#7,50319918#7
5_381,138440000#7,565496546#1
5_382,138440000#7,96606441#0
5_383,25634744#0,-1135075614#0
5_384,25634744#0,-1135075615#1
5_385,25634744#0,-1296042207
5_386,25634744#0,-25654678
5_387,25634744#0,-96606441#0
5_388,25634744#0,134805760#4
5_389,25634744#0,138440000#1
5_390,25634744#0,138440000#2
5_391,25634744#0,138440000#5
5_392,25634744#0,25634744#1
5_393,25634744#0,25654663#3
5_394,25634744#0,25654667#0
5_395,25634744#0,25654667#2
5_396,25634744#0,25654670#0
5_397,25634744#0,25654670#2
5_398,25634744#0,25654899
5_399,25634744#0,25654998#1
5_400,25634744#0,25654998#2
5_401,25634744#0,25655001#4
5_402,25634744#0,25655018#2
5_403,25634744#0,25655054#5
5_404,25634744#0,295699555
5_405,25634744#0,30002092#1
5_406,25634744#0,30706585#8
5_407,25634744#0,30706669
5_408,25634744#0,30706677#5
5_409,25634744#0,318933773#10
5_410,25634744#0,50319918#2
5_411,25634744#0,50319918#3
5_412,25634744#0,50319918#7
5_413,25634744#0,565496546#1
5_414,25634744#0,96606441#0
5_415,25634744#1,-1135075614#0
5_416,25634744#1,-1135075615#1
5_417,25634744#1,-1296042207
5_418,25634744#1,-25654678
5_419,25634744#1,-96606441#0
5_420,25634744#1,134805760#4
5_421,25634744#1,138440000#1
5_422,25634744#1,138440000#2
5_423,25634744#1,138440000#5
5_424,25634744#1,25654663#3
5_425,25634744#1,25654667#0
5_426,25634744#1,25654667#2
5_427,25634744#1,25654670#0
5_428,25634744#1,25654670#2
5_429,25634744#1,25654899
5_430,25634744#1,25654998#1
5_431,25634744#1,25654998#2
5_432,25634744#1,25655001#4
5_433,25634744#1,25655018#2
5_434,25634744#1,25655054#5
5_435,25634744#1,295699555
5_436,25634744#1,30002092#1
5_437,25634744#1,30706585#8
5_438,25634744#1,30706669
5_439,25634744#1,30706677#5
5_440,25634744#1,318933773#10
5_441,25634744#1,50319918#2
5_442,25634744#1,50319918#3
5_443,25634744#1,50319918#7
5_444,25634744#1,565496546#1
5_445,25634744#1,96606441#0
5_446,25654663#1,-1135075614#0
5_447,25654663#1,-1135075615#1
5_448,25654663#1,-1296042207
5_449,25654663#1,-25654678
5_450,25654663#1,-96606441#0
5_451,25654663#1,134805760#4
5_452,25654663#1,138440000#1
5_453,25654663#1,138440000#2
5_454,25654663#1,138440000#5
5_455,25654663#1,25634744#1
5_456,25654663#1,25654663#3
5_457,25654663#1,25654667#0
5_458,25654663#1,25654667#2
5_459,25654663#1,25654670#0
5_460,25654663#1,25654670#2
5_461,25654663#1,25654899
5_462,25654663#1,25654998#1
5_463,25654663#1,25654998#2
5_464,25654663#1,25655001#4
5_465,25654663#1,25655018#2
5_466,25654663#1,25655054#5
5_467,25654663#1,295699555
5_468,25654663#1,30002092#1
5_469,25654663#1,30706585#8
5_470,25654663#1,30706669
5_471,25654663#1,30706677#5
5_472,25654663#1,318933773#10
5_473,25654663#1,50319918#2
5_474,25654663#1,50319918#3
5_475,25654663#1,50319918#7
5_476,25654663#1,565496546#1
5_477,25654663#1,96606441#0
5_478,25654663#3,-1135075614#0
5_479,25654663#3,-1135075615#1
5_480,25654663#3,-1296042207
5_481,25654663#3,-25654678
5_482,25654663#3,-96606441#0
5_483,25654663#3,134805760#4
5_484,25654663#3,138440000#1
5_485,25654663#3,138440000#2
5_486,25654663#3,138440000#5
5_487,25654663#3,25634744#1
5_488,25654663#3,25654667#0
5_489,25654663#3,25654667#2
5_490,25654663#3,25654670#0
5_491,25654663#3,25654670#2
5_492,25654663#3,25654899
5_493,25654663#3,25654998#1
5_494,25654663#3,25654998#2
5_495,25654663#3,25655001#4
5_496,25654663#3,25655018#2
5_497,25654663#3,25655054#5
5_498,25654663#3,295699555
5_499,25654663#3,30002092#1
5_500,25654663#3,30706585#8
5_501,25654663#3,30706669
5_502,25654663#3,30706677#5
5_503,25654663#3,318933773#10
5_504,25654663#3,50319918#2
5_505,25654663#3,50319918#3
5_506,25654663#3,50319918#7
5_507,25654663#3,565496546#1
5_508,25654663#3,96606441#0
5_509,25654670#2,-1135075614#0
5_510,25654670#2,-1135075615#1
5_511,25654670#2,-1296042207
5_512,25654670#2,-25654678
5_513,25654670#2,-96606441#0
5_514,25654670#2,134805760#4
5_515,25654670#2,138440000#1
5_516,25654670#2,138440000#2
5_517,25654670#2,138440000#5
5_518,25654670#2,25634744#1
5_519,25654670#2,25654663#3
5_520,25654670#2,25654667#0
5_521,25654670#2,25654667#2
5_522,25654670#2,25654670#0
5_523,25654670#2,25654899
5_524,25654670#2,25654998#1
5_525,25654670#2,25654998#2
5_526,25654670#2,25655001#4
5_527,25654670#2,25655018#2
5_528,25654670#2,25655054#5
5_529,25654670#2,295699555
5_530,25654670#2,30002092#1
5_531,25654670#2,30706585#8
5_532,25654670#2,30706669
5_533,25654670#2,30706677#5
5_534,25654670#2,318933773#10
5_535,25654670#2,50319918#2
5_536,25654670#2,50319918#3
5_537,25654670#2,50319918#7
5_538,25654670#2,565496546#1
5_539,25654670#2,96606441#0
5_540,25654678,-1135075614#0
5_541,25654678,-1135075615#1
5_542,25654678,-1296042207
5_543,25654678,-25654678
5_544,25654678,-96606441#0
5_545,25654678,134805760#4
5_546,25654678,138440000#1
5_547,25654678,138440000#2
5_548,25654678,138440000#5
5_549,25654678,25634744#1
5_550,25654678,25654663#3
5_551,25654678,25654667#0
5_552,25654678,25654667#2
5_553,25654678,25654670#0
5_554,25654678,25654670#2
5_555,25654678,25654899
5_556,25654678,25654998#1
5_557,25654678,25654998#2
5_558,25654678,25655001#4
5_559,25654678,25655018#2
5_560,25654678,25655054#5
5_561,25654678,295699555
5_562,25654678,30002092#1
5_563,25654678,30706585#8
5_564,25654678,30706669
5_565,25654678,30706677#5
5_566,25654678,318933773#10
5_567,25654678,50319918#2
5_568,25654678,50319918#3
5_569,25654678,50319918#7
5_570,25654678,565496546#1
5_571,25654678,96606441#0
