1_0,-25654957#1,-25586000#4,16
1_1,-25654957#1,-30690505#0,26
1_2,-25654957#1,-30690563#0,26
1_3,-25654957#1,-48563889,25
1_4,-25654957#1,1223049032#2,21
1_5,-25654957#1,135067339#2,14
1_6,-25654957#1,151503390#1,28
1_7,-25654957#1,25654957#1,2
1_8,-25654957#1,25748726#4,23
1_9,-25654957#1,25748820#3,16
1_10,-25654957#1,30671462#5,14
1_11,-25654957#1,30690502#2,27
1_12,-25654957#1,30690502#4,27
1_13,-25654957#1,30690502#6,29
1_14,-25654957#1,30690562#1,26
1_15,-25654957#1,30700001#0,15
1_16,-25654957#1,30701540,5
1_17,-30690562#1,-25586000#4,24
1_18,-30690562#1,-30690505#0,16
1_19,-30690562#1,-30690563#0,2
1_20,-30690562#1,-48563889,19
1_21,-30690562#1,1223049032#2,19
1_22,-30690562#1,135067339#2,28
1_23,-30690562#1,151503390#1,10
1_24,-30690562#1,25654957#1,31
1_25,-30690562#1,25748726#4,21
1_26,-30690562#1,25748820#3,18
1_27,-30690562#1,30671462#5,20
1_28,-30690562#1,30690502#2,15
1_29,-30690562#1,30690502#4,11
1_30,-30690562#1,30690502#6,13
1_31,-30690562#1,30690562#1,2
1_32,-30690562#1,30700001#0,29
1_33,-30690562#1,30701540,32
1_34,-30701540,-25586000#4,21
1_35,-30701540,-30690505#0,31
1_36,-30701540,-30690563#0,31
1_37,-30701540,-48563889,30
1_38,-30701540,1223049032#2,26
1_39,-30701540,135067339#2,18
1_40,-30701540,151503390#1,33
1_41,-30701540,25654957#1,5
1_42,-30701540,25748726#4,28
1_43,-30701540,25748820#3,21
1_44,-30701540,30671462#5,19
1_45,-30701540,30690502#2,32
1_46,-30701540,30690502#4,32
1_47,-30701540,30690502#6,34
1_48,-30701540,30690562#1,31
1_49,-30701540,30700001#0,19
1_50,-30701540,30701540,2
1_51,135067339#2,-25586000#4,27
1_52,135067339#2,-30690505#0,17
1_53,135067339#2,-30690563#0,17
1_54,135067339#2,-48563889,16
1_55,135067339#2,1223049032#2,12
1_56,135067339#2,151503390#1,19
1_57,135067339#2,25654957#1,19
1_58,135067339#2,25748726#4,14
1_59,135067339#2,25748820#3,17
1_60,135067339#2,30671462#5,25
1_61,135067339#2,30690502#2,18
1_62,135067339#2,30690502#4,18
1_63,135067339#2,30690502#6,20
1_64,135067339#2,30690562#1,17
1_65,135067339#2,30700001#0,2
1_66,135067339#2,30701540,10
1_67,151503390#1,-25586000#4,29
1_68,151503390#1,-30690505#0,21
1_69,151503390#1,-30690563#0,9
1_70,151503390#1,-48563889,24
1_71,151503390#1,1223049032#2,24
1_72,151503390#1,135067339#2,33
1_73,151503390#1,25654957#1,36
1_74,151503390#1,25748726#4,26
1_75,151503390#1,25748820#3,23
1_76,151503390#1,30671462#5,25
1_77,151503390#1,30690502#2,20
1_78,151503390#1,30690502#4,16
1_79,151503390#1,30690502#6,18
1_80,151503390#1,30690562#1,9
1_81,151503390#1,30700001#0,34
1_82,151503390#1,30701540,37
1_83,151503390#3,-25586000#4,27
1_84,151503390#3,-30690505#0,19
1_85,151503390#3,-30690563#0,7
1_86,151503390#3,-48563889,22
1_87,151503390#3,1223049032#2,22
1_88,151503390#3,135067339#2,31
1_89,151503390#3,151503390#1,5
1_90,151503390#3,25654957#1,34
1_91,151503390#3,25748726#4,24
1_92,151503390#3,25748820#3,21
1_93,151503390#3,30671462#5,23
1_94,151503390#3,30690502#2,18
1_95,151503390#3,30690502#4,14
1_96,151503390#3,30690502#6,16
1_97,151503390#3,30690562#1,7
1_98,151503390#3,30700001#0,32
1_99,151503390#3,30701540,35
1_100,25586000#4,-25586000#4,4
1_101,25586000#4,-30690505#0,20
1_102,25586000#4,-30690563#0,20
1_103,25586000#4,-48563889,19
1_104,25586000#4,1223049032#2,15
1_105,25586000#4,135067339#2,24
1_106,25586000#4,151503390#1,22
1_107,25586000#4,25654957#1,17
1_108,25586000#4,25748726#4,17
1_109,25586000#4,25748820#3,10
