FlowID,Ingress,Egress
2_196,390272744#1,116174525#0
2_197,390272744#1,116599173#1
2_198,390272744#1,116599755#1
2_199,390272744#1,116599755#3
2_200,390272744#1,129844853#0
2_201,390272744#1,130010201#3
2_202,390272744#1,130010205#0
2_203,390272744#1,130010205#3
2_204,390272744#1,130011357#1
2_205,390272744#1,130018251#1
2_206,390272744#1,27233953#5
