Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Checkpoint
2,-54.0,-0.19952114924181963,140.0,3.192338387869114,
3,-58.0,4.058058058058058,158.0,4.0,
4,-58.0,16.027565084226648,400.0,6.122511485451761,
5,-52.0,28.741721854304636,540.0,8.832229580573951,
6,-58.0,40.0058651026393,634.0,11.63049853372434,
7,-52.0,48.862876254180605,754.0,13.377926421404682,
8,-52.0,78.0,706.0,21.118279569892472,
9,-20.0,77.35135135135135,742.0,21.481081081081083,
10,-56.0,76.26041666666667,730.0,20.875,
11,-52.0,95.4875,850.0,24.9125,
12,-52.0,92.96551724137932,838.0,23.810344827586206,
13,-54.0,83.26553672316385,766.0,22.180790960451976,
14,-58.0,105.45333333333333,850.0,27.16,
15,-52.0,102.51655629139073,802.0,26.132450331125828,
16,-54.0,108.26573426573427,790.0,28.223776223776223,
17,-54.0,186.24,778.0,46.31,
18,-16.0,133.14285714285714,742.0,33.57142857142857,
19,-50.0,109.02068965517242,826.0,27.26206896551724,
20,-50.0,115.06474820143885,802.0,29.41726618705036,
21,-54.0,138.3728813559322,970.0,33.30508474576271,
22,-56.0,142.26315789473685,826.0,34.76315789473684,
23,-56.0,125.265625,850.0,31.2265625,
24,-52.0,111.8041958041958,790.0,27.748251748251747,
25,-40.0,150.58490566037736,838.0,38.25471698113208,
26,-50.0,91.77514792899409,802.0,23.49112426035503,
27,-50.0,161.76237623762376,898.0,40.257425742574256,
28,-50.0,116.56716417910448,790.0,30.007462686567163,
