Cluster,Latitudine,Longitudine
0,40.592006479897954,17.1154860457833
1,40.59368321711289,17.111410033960354
2,40.591778107276724,17.112055328742127
3,40.59362001077883,17.116774934175055
4,40.59314006995933,17.113967648053038
