datetime,free_flow_speed,traffic_speed,density_factor,number_of_vehicles
2024-07-04T00:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T00:30:00+02:00,46.68,46.68,1.0,169
2024-07-04T01:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T01:30:00+02:00,46.68,46.68,1.0,169
2024-07-04T02:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T02:30:00+02:00,46.68,46.68,1.0,169
2024-07-04T03:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T03:30:00+02:00,46.68,46.68,1.0,169
2024-07-04T04:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T04:30:00+02:00,46.68,46.68,1.0,169
2024-07-04T05:00:00+02:00,46.68,45.91475409836065,1.0166666666666666,172
2024-07-04T05:30:00+02:00,46.68,45.91475409836065,1.0166666666666666,172
2024-07-04T06:00:00+02:00,46.68,44.45714285714286,1.0499999999999998,178
2024-07-04T06:30:00+02:00,46.68,40.59130434782609,1.15,194
2024-07-04T07:00:00+02:00,46.68,35.45316455696202,1.3166666666666669,223
2024-07-04T07:30:00+02:00,46.68,29.482105263157894,1.5833333333333333,268
2024-07-04T08:00:00+02:00,46.68,25.933333333333334,1.8,304
2024-07-04T08:30:00+02:00,46.68,25.6954128440367,1.8166666666666664,307
2024-07-04T09:00:00+02:00,46.68,27.458823529411767,1.7,288
2024-07-04T09:30:00+02:00,46.68,28.579591836734693,1.6333333333333333,276
2024-07-04T10:00:00+02:00,46.68,29.79574468085106,1.5666666666666669,265
2024-07-04T10:30:00+02:00,46.68,30.116129032258065,1.55,262
2024-07-04T11:00:00+02:00,46.68,30.44347826086957,1.5333333333333332,259
2024-07-04T11:30:00+02:00,46.68,30.44347826086957,1.5333333333333332,259
2024-07-04T12:00:00+02:00,46.68,30.77802197802198,1.5166666666666666,257
2024-07-04T12:30:00+02:00,46.68,31.469662921348316,1.4833333333333332,251
2024-07-04T13:00:00+02:00,46.68,31.469662921348316,1.4833333333333332,251
2024-07-04T13:30:00+02:00,46.68,32.19310344827586,1.45,245
2024-07-04T14:00:00+02:00,46.68,32.56744186046512,1.4333333333333333,242
2024-07-04T14:30:00+02:00,46.68,32.56744186046512,1.4333333333333333,242
2024-07-04T15:00:00+02:00,46.68,32.19310344827586,1.45,245
2024-07-04T15:30:00+02:00,46.68,31.82727272727273,1.4666666666666666,248
2024-07-04T16:00:00+02:00,46.68,31.119999999999997,1.5000000000000002,254
2024-07-04T16:30:00+02:00,46.68,29.79574468085106,1.5666666666666669,265
2024-07-04T17:00:00+02:00,46.68,28.874226804123712,1.6166666666666667,273
2024-07-04T17:30:00+02:00,46.68,28.008000000000003,1.6666666666666665,282
2024-07-04T18:00:00+02:00,46.68,27.458823529411767,1.7,288
2024-07-04T18:30:00+02:00,46.68,28.008000000000003,1.6666666666666665,282
2024-07-04T19:00:00+02:00,46.68,29.174999999999997,1.6,271
2024-07-04T19:30:00+02:00,46.68,30.44347826086957,1.5333333333333332,259
2024-07-04T20:00:00+02:00,46.68,32.56744186046512,1.4333333333333333,242
2024-07-04T20:30:00+02:00,46.68,35.01,1.3333333333333335,226
2024-07-04T21:00:00+02:00,46.68,38.9,1.2,203
2024-07-04T21:30:00+02:00,46.68,43.089230769230774,1.0833333333333333,183
2024-07-04T22:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T22:30:00+02:00,46.68,46.68,1.0,169
2024-07-04T23:00:00+02:00,46.68,46.68,1.0,169
2024-07-04T23:30:00+02:00,46.68,46.68,1.0,169
