Flow ID,Start Edge ID,End Edge ID,Flow Length,Start From Lat,Start From Lon,Start To Lat,Start To Lon,End From Lat,End From Lon,End To Lat,End To Lon,Random_const,Gamma,Gamma_agg,Gamma_norm,Start Count,End Count
0_1,-114953453#6,-25654991#0,17,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09267829914716,16.854073630954087,41.09207574955028,16.85389154719994,0.9266641168329535,0.054509653931350203,2.3123438047890357,0.023573334474941254,44.0,0.0
0_2,-114953453#6,-33831688,36,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09717150257013,16.862346685598727,41.09717022441964,16.862141610446756,0.6618177446947666,0.018383826241521295,2.3123438047890357,0.00795029969308501,44.0,0.0
0_3,-114953453#6,-48874524,29,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09782874807601,16.858422322289133,41.09720965467912,16.86010828803053,0.8321411462188394,0.028694522283408255,2.3123438047890357,0.01240928023937434,44.0,0.0
0_4,-114953453#6,-50077954,22,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09590934506375,16.85589778274809,41.094481033476846,16.855484180652265,0.9704461114215562,0.04411118688279801,2.3123438047890357,0.01907639633493967,44.0,0.0
0_5,-114953453#6,-50370694#0,28,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09390877175432,16.860555577386883,41.09389978504193,16.86089441913475,0.62700939906714,0.02239319282382643,2.3123438047890357,0.009684196950924194,44.0,0.0
0_6,-114953453#6,114953453#6,2,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09289989869124,16.857979997773366,41.09252833667128,16.85806965698529,0.7795740674928804,0.3897870337464402,2.3123438047890357,0.16856794086552454,44.0,0.0
0_7,-114953453#6,1223050325#0,19,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09575898407665,16.861403291409037,41.09578940828096,16.861627521735652,0.6949761479564185,0.03657769199770623,2.3123438047890357,0.01581844876265853,44.0,0.0
0_8,-114953453#6,1223050326,18,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09577203818025,16.86132567064774,41.09575898407665,16.861403291409037,0.5046508301219521,0.028036157228997338,2.3123438047890357,0.01212456260653471,44.0,0.0
0_9,-114953453#6,1226960836#1,19,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09326327598272,16.856459442663375,41.09325705252129,16.85653261037847,0.5438548033653654,0.028623937019229755,2.3123438047890357,0.01237875482008664,44.0,0.0
0_10,-114953453#6,131750844#7,22,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09588692434208,16.86204201283392,41.096023183819085,16.86206015013157,0.5011813433004217,0.022780970150019172,2.3123438047890357,0.009851895770359966,44.0,0.0
0_11,-114953453#6,131750844#8,23,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.096023183819085,16.86206015013157,41.09607053280287,16.862073156374553,0.56083500482713,0.024384130644657824,2.3123438047890357,0.010545201191170828,44.0,0.0
0_12,-114953453#6,131750844#9,24,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09607053280287,16.862073156374553,41.09624619327664,16.862345189534487,0.7262631814965901,0.03026096589569125,2.3123438047890357,0.013086707016931714,44.0,0.0
0_13,-114953453#6,131750850#0,24,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09406666971318,16.861809974981103,41.09374076152227,16.861733142040123,0.751966851962313,0.03133195216509638,2.3123438047890357,0.013549867498165964,44.0,0.0
0_14,-114953453#6,131750853#0,21,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09428507077666,16.861822930016572,41.094248634240174,16.861820234016683,0.7244214825835535,0.03449626107540731,2.3123438047890357,0.014918309727110213,44.0,0.0
0_15,-114953453#6,131750853#2,23,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09422326217536,16.861818445841735,41.09406666971318,16.861809974981103,0.6193520411334162,0.026928349614496357,2.3123438047890357,0.01164547830591876,44.0,0.0
0_16,-114953453#6,131752095#2,17,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09606913880409,16.857384087393385,41.09607773810893,16.85711333011326,0.9492031302183095,0.05583547824813585,2.3123438047890357,0.024146702636734397,44.0,0.0
0_17,-114953453#6,25817423#3,10,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.093433790346566,16.855687830843742,41.09352569242476,16.85465158647345,0.5375183243901198,0.053751832439011986,2.3123438047890357,0.023245605747591665,44.0,0.0
0_18,-114953453#6,25817735#2,42,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09257525037648,16.866055037799217,41.08991586912939,16.865878687144406,0.8173348361596349,0.01946035324189607,2.3123438047890357,0.00841585632793542,44.0,0.0
0_19,-114953453#6,25819014#1,23,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09637979984023,16.861535604961926,41.096390396588056,16.86145398483175,0.7236257972275318,0.03146199118380573,2.3123438047890357,0.013606104385794885,44.0,0.0
0_20,-114953453#6,25819014#2,24,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.096390396588056,16.86145398483175,41.09617566373433,16.86105237527639,0.53685010547371,0.022368754394737917,2.3123438047890357,0.009673628267738805,44.0,0.0
0_21,-114953453#6,25819177#2,14,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09333584930795,16.855672929401177,41.09331846638719,16.855846153569416,0.7598390538194237,0.054274218129958834,2.3123438047890357,0.02347151752155233,44.0,0.0
0_22,-114953453#6,25819177#3,15,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09331846638719,16.855846153569416,41.09330344191395,16.855984796607544,0.9727400301599618,0.06484933534399745,2.3123438047890357,0.028044850082280005,44.0,0.0
0_23,-114953453#6,25819177#5,17,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09328897220411,16.85615607855325,41.093276282258536,16.856306336332803,0.669659071217904,0.03939171007164141,2.3123438047890357,0.01703540364112735,44.0,0.0
0_24,-114953453#6,28279138#5,28,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09309962997091,16.8641768999245,41.09122003932151,16.863954806076606,0.6519756048067076,0.023284843028810984,2.3123438047890357,0.010069801463167521,44.0,0.0
0_25,-114953453#6,28921528#2,22,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09590934506375,16.85589778274809,41.09589464404242,16.856597607978603,0.9434094250934435,0.04288224659515653,2.3123438047890357,0.018544926799528776,44.0,0.0
0_26,-114953453#6,28921528#8,15,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.095864883749904,16.858939789299576,41.09579879841287,16.860483307032734,0.9621389467985224,0.06414259645323482,2.3123438047890357,0.02773921262071442,44.0,0.0
0_27,-114953453#6,30672980#0,14,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09410258065408,16.854547680343014,41.0940220774019,16.854495884667088,0.8838215321416818,0.06313010943869156,2.3123438047890357,0.02730135082332671,44.0,0.0
0_28,-114953453#6,30672980#6,17,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09290701188394,16.85345153155061,41.09274366748828,16.853398004520955,0.9203111340622969,0.05413594906248805,2.3123438047890357,0.02341172145351763,44.0,0.0
0_29,-114953453#6,30673346,2,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09289989869124,16.857979997773366,41.0924620240455,16.857540225068156,0.890057446955943,0.4450287234779715,2.3123438047890357,0.19245785274503038,44.0,0.0
0_30,-114953453#6,30674315#11,32,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09762167433529,16.86078183182401,41.0975908593457,16.860854905020272,0.9244407272933386,0.02888877272791683,2.3123438047890357,0.012493286105675998,44.0,0.0
0_31,-114953453#6,30674315#8,30,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09783406893447,16.85935956518292,41.09781757948696,16.860074005211207,0.5639031205118477,0.018796770683728255,2.3123438047890357,0.00812888232485098,44.0,0.0
0_32,-114953453#6,30674315#9,31,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09781757948696,16.860074005211207,41.09773009884011,16.860532461562137,0.9279480964503326,0.029933809562913954,2.3123438047890357,0.012945224451882464,44.0,0.0
0_33,-114953453#6,30674359#4,34,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09788351207976,16.86008527251128,41.097886790174485,16.85993247707892,0.5890571649119131,0.017325210732703326,2.3123438047890357,0.007492489091294092,44.0,0.0
0_34,-114953453#6,30674359#5,35,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.097886790174485,16.85993247707892,41.097887056561405,16.859358083149928,0.5215697175509283,0.014901991930026523,2.3123438047890357,0.006444539907587873,44.0,0.0
0_35,-114953453#6,30674385#2,29,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09752079197923,16.86113857805688,41.097541272342,16.861158803055236,0.8541595581903552,0.029453777868632937,2.3123438047890357,0.012737629156889203,44.0,0.0
0_36,-114953453#6,30674948,29,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09346290764322,16.859512259912492,41.0937563740557,16.85923859402608,0.8651553501860738,0.029832943109864615,2.3123438047890357,0.012901603579916782,44.0,0.0
0_37,-114953453#6,30675059#0,19,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09575898407665,16.861403291409037,41.09556026737646,16.861799770540163,0.8529377519763216,0.04489146063033271,2.3123438047890357,0.019413834801450876,44.0,0.0
0_38,-114953453#6,30675059#1,20,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09556026737646,16.861799770540163,41.09428507077666,16.861822930016572,0.5996852879566941,0.029984264397834706,2.3123438047890357,0.012967044232667767,44.0,0.0
0_39,-114953453#6,33831688,37,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.09717022441964,16.862141610446756,41.09717150257013,16.862346685598727,0.6628183272007909,0.01791400884326462,2.3123438047890357,0.0077471216893281085,44.0,0.0
0_40,-114953453#6,48563895#1,16,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.094497059549575,16.854662484304253,41.09459493177244,16.85467607291383,0.9307654841290389,0.05817284275806493,2.3123438047890357,0.025157523131977458,44.0,0.0
0_41,-114953453#6,48563902#0,26,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.093159424293006,16.861119861413044,41.092910609638544,16.861550868324073,0.9081096493679188,0.03492729420645842,2.3123438047890357,0.015104715022965615,44.0,0.0
0_42,-114953453#6,48874527#2,19,41.09252833667128,16.85806965698529,41.09289989869124,16.857979997773366,41.094611131446,16.86076995428607,41.09433377805168,16.860614722600705,0.5332843860980752,0.028067599268319744,2.3123438047890357,0.01213816008250575,44.0,0.0
