Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-9.5,8.975652173913044,23.0,34.63478260869565,2024-11-18 10:43:39,algorithm_state.pkl
2,-9.5,6.765354330708662,22.5,31.338582677165356,2024-11-18 11:05:37,algorithm_state.pkl
3,-9.5,8.878030303030304,24.2,30.515151515151516,2024-11-18 11:27:02,algorithm_state.pkl
4,-7.5,13.975925925925925,24.5,36.907407407407405,2024-11-18 11:54:10,algorithm_state.pkl
5,-11.0,14.409,27.2,40.95,2024-11-18 12:34:46,algorithm_state.pkl
6,-9.0,16.221999999999998,23.2,45.38,2024-11-18 13:37:10,algorithm_state.pkl
7,-9.0,15.107000000000001,24.5,48.76,2024-11-18 14:11:06,algorithm_state.pkl
8,-8.0,16.43,24.7,47.32,2024-11-18 14:33:56,algorithm_state.pkl
9,-12.0,12.731,22.5,41.44,2024-11-18 14:54:45,algorithm_state.pkl
10,-9.0,15.035,26.0,42.71,2024-11-18 15:17:15,algorithm_state.pkl
11,-9.5,14.292592592592591,27.5,36.851851851851855,2024-11-18 15:37:45,algorithm_state.pkl
12,-9.5,14.824000000000002,22.5,40.01,2024-11-18 16:12:44,algorithm_state.pkl
13,-9.5,12.563302752293579,23.5,36.89908256880734,2024-11-18 17:44:41,algorithm_state.pkl
14,-9.5,14.940540540540539,23.0,36.0,2024-11-18 18:37:40,algorithm_state.pkl
15,-9.5,12.16311475409836,25.7,32.73770491803279,2024-11-18 19:10:34,algorithm_state.pkl
16,-9.0,13.1130081300813,25.2,32.7479674796748,2024-11-18 19:34:19,algorithm_state.pkl
17,-9.0,12.671929824561403,22.5,35.07017543859649,2024-11-18 20:39:32,algorithm_state.pkl
18,-9.5,14.921,23.7,40.01,2024-11-18 21:02:23,algorithm_state.pkl
19,-9.0,15.953,23.7,41.38,2024-11-18 21:37:19,algorithm_state.pkl
20,-9.0,11.18301886792453,23.0,37.54716981132076,2024-11-18 22:04:59,algorithm_state.pkl
21,-9.0,13.630841121495328,21.7,37.626168224299064,2024-11-18 22:32:26,algorithm_state.pkl
22,-9.5,13.117857142857144,26.0,35.42857142857143,2024-11-18 23:03:25,algorithm_state.pkl
23,-6.5,12.553508771929824,22.5,35.333333333333336,2024-11-18 23:23:04,algorithm_state.pkl
24,-7.0,13.367226890756301,23.0,33.54621848739496,2024-11-18 23:40:52,algorithm_state.pkl
25,-9.0,13.497599999999998,24.2,31.912,2024-11-18 23:59:34,algorithm_state.pkl
26,-8.5,14.2,24.7,33.46666666666667,2024-11-19 00:20:02,algorithm_state.pkl
