Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-11.4,-9.765293383270912,-1.5999999999999996,4.9937578027465666,2024-10-27 15:07:17,
2,-11.3,-9.069968051118213,6.5000000000000036,6.354632587859425,2024-10-27 15:16:41,
3,-10.9,-7.570715835140999,18.39999999999999,8.724511930585683,2024-10-27 15:31:03,
4,-11.0,-4.782119205298013,71.6,13.21523178807947,2024-10-27 15:45:31,
5,-10.9,1.5049079754601202,67.19999999999996,24.558282208588956,2024-10-27 16:03:03,
6,-10.6,12.251999999999988,70.5,43.96,2024-10-27 16:23:15,
7,-10.2,17.700999999999986,71.59999999999997,50.88,2024-10-27 16:43:42,
8,-10.3,24.243999999999982,74.9,59.64,2024-10-27 17:05:11,
9,-10.3,27.920999999999996,74.9,65.42,2024-10-27 17:26:08,
10,-10.2,29.556999999999988,74.89999999999999,68.34,2024-10-27 17:50:50,
11,-10.2,32.364,74.9,72.0,2024-10-27 18:15:31,
12,-10.2,31.826999999999988,74.9,71.1,2024-10-27 18:36:46,
13,-10.2,37.98399999999999,77.1,79.77,2024-10-27 18:56:10,
14,-10.2,39.519999999999996,77.1,80.48,2024-10-27 19:16:28,
15,-10.2,36.203,77.10000000000001,74.87,2024-10-27 19:37:09,
16,-10.2,41.253,78.89999999999995,82.56,2024-10-27 20:01:51,
17,-10.2,45.744,78.89999999999995,89.84,2024-10-27 22:57:52,
