Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-13.7,-9.760351317440405,2.0000000000000018,5.015056461731493,2024-11-01 14:25:35,
2,-11.1,-9.103647416413375,11.3,6.0820668693009114,2024-11-01 14:32:19,
3,-10.9,-7.961368209255533,16.6,8.010060362173038,2024-11-01 14:39:07,
4,-11.1,-4.887974683544304,42.29999999999997,12.708860759493671,2024-11-01 14:47:19,
5,-10.799999999999999,-0.19850746268656874,44.69999999999995,19.885572139303484,2024-11-01 14:55:14,
6,-10.5,8.637391304347819,73.49999999999996,34.834782608695654,2024-11-01 15:04:41,
7,-10.5,15.581999999999988,72.69999999999999,47.21,2024-11-01 15:14:22,
8,-10.5,18.03799999999999,73.79999999999998,50.71,2024-11-01 15:23:50,
9,-10.2,27.81699999999999,72.69999999999999,66.83,2024-11-01 15:33:29,
10,-10.2,36.021999999999984,72.69999999999999,79.94,2024-11-01 15:43:11,
11,-10.2,39.04399999999998,72.69999999999999,84.62,2024-11-01 15:52:54,
12,-10.2,41.58499999999998,73.79999999999998,87.83,2024-11-01 16:02:30,
13,-10.2,45.23399999999999,74.89999999999999,93.72,2024-11-01 16:12:17,
14,-10.2,45.760999999999996,74.89999999999999,93.85,2024-11-01 16:22:43,
15,-10.2,48.10799999999999,74.9,97.8,2024-11-01 16:34:39,
