Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-10.7,14.704761904761904,24.5,37.95238095238095,2024-11-23 13:43:28,algorithm_state.pkl
2,-9.0,15.44326923076923,26.2,38.47115384615385,2024-11-23 14:55:16,algorithm_state.pkl
3,-8.5,16.531,23.7,40.12,2024-11-23 16:06:47,algorithm_state.pkl
4,-9.0,16.583,24.7,41.15,2024-11-23 16:56:58,algorithm_state.pkl
5,-4.5,16.73,23.5,39.84,2024-11-23 17:22:14,algorithm_state.pkl
6,-6.0,16.745714285714286,24.5,38.40952380952381,2024-11-23 17:47:44,algorithm_state.pkl
7,-7.0,17.188118811881186,24.7,39.227722772277225,2024-11-23 18:10:22,algorithm_state.pkl
8,-1.0,16.999000000000002,24.7,45.89,2024-11-23 18:34:31,algorithm_state.pkl
9,-1.0,17.182,23.0,43.58,2024-11-23 18:58:31,algorithm_state.pkl
10,-6.5,16.51,23.9,42.7,2024-11-23 19:23:08,algorithm_state.pkl
11,-9.0,16.01372549019608,22.5,39.36274509803921,2024-11-23 19:47:52,algorithm_state.pkl
12,-9.5,14.880530973451327,24.7,35.469026548672566,2024-11-23 20:09:39,algorithm_state.pkl
