Episode,Reward Min,Reward Mean,Reward Max,Episode Length
1,-51.0,-9.770992366412214,9.000000000000007,5.083969465648855,
2,-11.2,-8.932747603833867,17.5,6.394568690095847,
3,-10.9,-7.7564210526315795,24.699999999999974,8.368421052631579,
4,-10.9,-2.468949771689499,57.199999999999946,18.26027397260274,
5,-10.7,3.3685714285714217,59.399999999999956,28.65,
6,-10.9,7.872115384615374,58.29999999999995,38.09615384615385,
7,-10.2,12.922999999999984,59.39999999999995,46.43,
8,-10.8,19.435999999999982,59.39999999999995,57.02,
9,-10.9,27.335999999999977,61.599999999999945,70.75,
10,-10.9,29.58599999999997,61.599999999999945,74.78,
11,-10.2,32.14299999999997,61.59999999999995,78.93,
12,-10.2,35.43999999999996,61.59999999999995,85.06,
13,-10.2,33.31399999999997,68.19999999999997,78.44,
14,-10.2,37.690999999999974,69.29999999999997,80.9,
15,-10.2,45.57499999999996,72.6,91.25,
16,-10.2,47.458999999999975,72.6,92.44,
17,-10.2,42.55099999999999,73.7,82.92,
18,-10.2,41.382999999999996,75.9,80.37,
