Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-6.5,15.932142857142855,25.5,35.473214285714285,2024-11-25 19:49:12,algorithm_state.pkl
2,-7.0,16.296190476190475,24.5,38.17142857142857,2024-11-25 20:07:27,algorithm_state.pkl
3,-10.0,15.071698113207546,23.7,37.867924528301884,2024-11-25 20:25:14,algorithm_state.pkl
4,-8.5,15.291509433962265,26.0,37.679245283018865,2024-11-25 21:14:52,algorithm_state.pkl
5,-8.0,16.136,24.5,40.55,2024-11-25 22:21:28,algorithm_state.pkl
6,-9.0,14.968224299065419,23.0,37.373831775700936,2024-11-25 22:40:11,algorithm_state.pkl
7,-10.0,11.128455284552846,22.5,32.34959349593496,2024-11-25 22:59:12,algorithm_state.pkl
8,-7.0,9.550387596899224,26.7,31.046511627906977,2024-11-25 23:17:39,algorithm_state.pkl
9,-9.0,12.428971962616822,26.0,37.271028037383175,2024-11-26 00:13:44,algorithm_state.pkl
10,-10.5,12.78,24.5,38.161904761904765,2024-11-26 01:01:52,algorithm_state.pkl
11,-8.5,15.893999999999998,27.5,41.41,2024-11-26 01:59:19,algorithm_state.pkl
12,-10.2,14.651923076923076,24.5,38.52884615384615,2024-11-26 06:20:35,algorithm_state.pkl
13,-6.0,15.944660194174757,24.5,38.398058252427184,2024-11-26 06:43:52,algorithm_state.pkl
14,-9.0,16.601,28.0,43.08,2024-11-26 07:04:18,algorithm_state.pkl
15,-9.0,17.825,24.5,47.83,2024-11-26 07:25:43,algorithm_state.pkl
16,-9.0,17.006999999999998,24.5,49.54,2024-11-26 07:46:34,algorithm_state.pkl
17,-7.5,8.24757281553398,23.0,39.20388349514563,2024-11-26 08:46:57,algorithm_state.pkl
18,-6.0,14.876999999999999,23.7,42.7,2024-11-26 09:12:57,algorithm_state.pkl
19,-5.0,16.090999999999998,25.5,45.81,2024-11-26 09:31:57,algorithm_state.pkl
20,-5.5,14.997058823529413,24.4,39.372549019607845,2024-11-26 09:51:01,algorithm_state.pkl
21,-7.5,15.870588235294116,25.5,39.088235294117645,2024-11-26 10:10:24,algorithm_state.pkl
22,-9.0,12.186206896551724,23.0,34.474137931034484,2024-11-26 10:29:18,algorithm_state.pkl
23,-9.5,13.87304347826087,26.0,34.78260869565217,2024-11-26 10:52:09,algorithm_state.pkl
24,-10.5,16.868,26.0,43.54,2024-11-26 11:12:52,algorithm_state.pkl
25,-9.0,17.784000000000002,24.5,44.93,2024-11-26 11:32:27,algorithm_state.pkl
26,14.5,18.709,24.5,49.79,2024-11-26 11:54:45,algorithm_state.pkl
27,-1.0,17.95,24.5,51.94,2024-11-26 12:15:19,algorithm_state.pkl
28,-4.5,16.855,23.7,47.55,2024-11-26 12:35:13,algorithm_state.pkl
29,-9.5,16.42,24.5,44.96,2024-11-26 12:56:59,algorithm_state.pkl
30,14.5,17.84,24.5,41.86,2024-11-26 13:17:56,algorithm_state.pkl
31,2.5,17.473,23.9,43.2,2024-11-26 13:37:30,algorithm_state.pkl
32,-8.5,12.023809523809524,26.2,38.10476190476191,2024-11-26 13:56:17,algorithm_state.pkl
33,-9.0,11.494444444444444,23.4,31.793650793650794,2024-11-26 14:16:54,algorithm_state.pkl
34,-7.0,15.253846153846155,22.4,37.96153846153846,2024-11-26 14:33:17,algorithm_state.pkl
35,-8.8,13.471929824561403,22.7,35.526315789473685,2024-11-26 14:52:14,algorithm_state.pkl
36,-10.0,9.755714285714287,25.7,28.42142857142857,2024-11-26 15:08:33,algorithm_state.pkl
37,-9.0,12.946511627906975,22.2,31.170542635658915,2024-11-26 15:26:10,algorithm_state.pkl
38,-9.5,14.240677966101696,26.5,33.59322033898305,2024-11-26 15:43:47,algorithm_state.pkl
39,-9.0,14.932203389830509,23.9,34.03389830508475,2024-11-26 15:59:55,algorithm_state.pkl
40,-9.5,16.74,23.3,40.79,2024-11-26 16:18:56,algorithm_state.pkl
41,-8.0,15.91142857142857,27.0,38.19047619047619,2024-11-26 16:35:24,algorithm_state.pkl
42,-9.0,17.193,26.7,42.01,2024-11-26 17:14:28,algorithm_state.pkl
