Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Checkpoint
1,-50.9,-9.822881355932203,4.300000000000001,3.3847457627118644,
2,-50.3,-9.032219827586209,21.0,4.311422413793103,
3,-50.8,-8.563307493540051,27.29999999999999,5.17312661498708,
4,-50.1,-7.403584229390681,56.299999999999955,7.145161290322581,
