Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-11.1,-9.772431077694238,0.5000000000000018,5.012531328320802,2024-10-16 21:14:04,
2,-11.1,-8.981064162754304,18.4,6.259780907668231,2024-10-16 21:21:19,
3,-11.1,-7.536865342163357,13.799999999999994,8.794701986754967,2024-10-16 21:30:53,
4,-10.700000000000001,-2.8665178571428576,31.49999999999998,17.6875,2024-10-16 21:42:08,
5,-10.799999999999999,3.712499999999995,71.59999999999998,29.279411764705884,2024-10-16 21:53:40,
6,-10.8,11.475999999999985,68.29999999999998,43.36,2024-10-16 22:07:13,
7,-10.4,17.795999999999985,72.7,53.52,2024-10-16 22:20:51,
8,-11.1,25.639999999999976,72.7,66.05,2024-10-16 22:32:44,
9,-11.1,27.817999999999973,72.69999999999999,69.48,2024-10-16 22:44:18,
10,-10.4,30.34199999999998,72.69999999999999,74.05,2024-10-16 22:57:19,
11,-10.2,34.06999999999997,72.69999999999999,80.05,2024-10-16 23:11:13,
12,-10.2,35.57999999999998,73.80000000000001,80.62,2024-10-16 23:23:47,
13,-10.2,38.063999999999986,73.80000000000001,83.3,2024-10-16 23:36:21,
14,-10.2,37.34699999999999,71.6,82.21,2024-10-16 23:53:26,
15,-10.2,36.999999999999986,73.8,80.18,2024-10-17 00:07:10,
16,-10.2,35.056999999999995,76.0,74.83,2024-10-17 00:23:18,
17,-10.2,41.251,76.0,84.77,2024-10-17 00:39:04,
18,-10.2,47.891999999999996,79.30000000000001,94.19,2024-10-17 00:57:54,
19,-10.2,47.45699999999999,79.30000000000001,93.12,2024-10-17 01:13:23,
20,-10.2,39.723,79.30000000000001,80.07,2024-10-17 01:31:22,
21,-10.2,42.20399999999999,79.30000000000001,82.37,2024-10-17 01:47:48,
22,-10.2,47.89200000000001,78.20000000000002,91.43,2024-10-17 02:06:56,
23,-10.2,39.256,78.20000000000002,78.13,2024-10-17 02:29:34,
24,-10.2,37.442,78.20000000000002,74.92,2024-10-17 02:53:25,
25,-10.2,37.455,79.29999999999998,75.43,2024-10-17 03:14:30,
26,-10.2,38.576,79.30000000000001,77.53,2024-10-17 03:38:35,
27,-10.2,42.45799999999999,79.30000000000001,83.09,2024-10-17 03:56:25,
28,-10.2,45.10100000000001,80.40000000000002,86.08,2024-10-17 04:16:58,
29,-10.2,47.647999999999996,80.40000000000002,90.23,2024-10-17 04:38:18,
30,-10.2,14.757999999999992,76.0,45.17,2024-10-17 05:03:18,
31,-10.2,6.259090909090906,73.80000000000001,30.295454545454547,2024-10-17 05:21:55,
32,-10.2,14.463999999999993,74.9,43.48,2024-10-17 05:42:49,
33,-10.2,24.745999999999995,76.0,59.67,2024-10-17 06:01:21,
