Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-12.0,3.58,19.0,24.163636363636364,2024-11-15 16:12:59,algorithm_state.pkl
2,-11.5,6.966896551724139,25.0,27.482758620689655,2024-11-15 16:39:20,algorithm_state.pkl
3,-14.5,7.537579617834395,20.5,25.484076433121018,2024-11-15 17:00:58,algorithm_state.pkl
4,-10.0,7.925619834710743,22.0,33.1900826446281,2024-11-15 17:23:01,algorithm_state.pkl
5,-11.0,9.478787878787879,21.7,30.257575757575758,2024-11-15 17:39:42,algorithm_state.pkl
6,-11.5,5.38421052631579,22.5,23.380116959064328,2024-11-15 17:58:59,algorithm_state.pkl
7,-47.5,1.157476635514019,20.0,18.77102803738318,2024-11-15 20:36:15,algorithm_state.pkl
8,-12.0,3.099468085106383,22.0,21.25,2024-11-15 20:59:40,algorithm_state.pkl
9,-9.5,6.369182389937107,18.7,25.10062893081761,2024-11-15 21:27:46,algorithm_state.pkl
10,-11.0,7.226666666666667,20.2,26.686666666666667,2024-11-15 21:50:53,algorithm_state.pkl
11,-11.5,8.050735294117647,23.0,29.389705882352942,2024-11-15 22:08:44,algorithm_state.pkl
12,-9.0,8.466666666666667,20.2,32.390243902439025,2024-11-16 01:17:26,algorithm_state.pkl
13,-11.5,10.452499999999999,20.2,33.55833333333333,2024-11-16 10:52:05,algorithm_state.pkl
14,-9.0,9.084671532846714,23.0,29.21167883211679,2024-11-16 11:15:38,algorithm_state.pkl
15,-9.5,2.24311377245509,21.5,23.808383233532933,2024-11-16 11:30:58,algorithm_state.pkl
16,-12.0,-1.6428030303030303,19.0,15.227272727272727,2024-11-16 11:46:13,algorithm_state.pkl
17,-14.5,1.5134999999999998,19.0,19.845,2024-11-16 12:01:37,algorithm_state.pkl
18,-11.0,1.9682926829268292,17.5,19.658536585365855,2024-11-16 12:16:34,algorithm_state.pkl
19,-14.5,4.091176470588235,17.7,23.45294117647059,2024-11-16 12:40:49,algorithm_state.pkl
20,-11.5,8.766,21.5,26.64666666666667,2024-11-16 13:15:19,algorithm_state.pkl
21,-11.0,8.363888888888889,22.2,27.756944444444443,2024-11-16 13:38:21,algorithm_state.pkl
22,-10.5,8.536507936507936,19.0,31.77777777777778,2024-11-16 13:59:29,algorithm_state.pkl
23,-10.5,0.12164948453608257,20.0,20.7319587628866,2024-11-16 14:15:46,algorithm_state.pkl
24,-11.7,2.696954314720812,21.2,20.289340101522843,2024-11-16 14:36:47,algorithm_state.pkl
25,-12.6,3.844910179640719,26.0,23.724550898203592,2024-11-16 14:57:08,algorithm_state.pkl
26,-9.0,7.607142857142857,22.0,31.896825396825395,2024-11-16 16:10:27,algorithm_state.pkl
27,-9.5,2.085526315789474,21.7,26.414473684210527,2024-11-16 16:34:31,algorithm_state.pkl
28,-10.5,2.9849397590361444,22.2,23.981927710843372,2024-11-16 16:58:45,algorithm_state.pkl
29,-10.5,5.2947019867549665,22.9,26.642384105960264,2024-11-16 17:21:19,algorithm_state.pkl
30,-10.5,5.07925925925926,22.2,29.362962962962964,2024-11-16 17:43:56,algorithm_state.pkl
31,-10.0,7.3515625,24.2,31.3671875,2024-11-16 18:03:41,algorithm_state.pkl
32,-11.0,7.884920634920635,22.0,31.76984126984127,2024-11-16 18:22:16,algorithm_state.pkl
