Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-9.0,15.653465346534656,24.7,39.37623762376238,2024-11-21 23:39:18,algorithm_state.pkl
2,-7.0,16.805999999999997,25.7,41.64,2024-11-22 00:03:20,algorithm_state.pkl
3,-2.0,17.352999999999998,25.2,45.74,2024-11-22 00:27:33,algorithm_state.pkl
4,-7.5,15.798,23.5,47.49,2024-11-22 00:51:59,algorithm_state.pkl
5,-9.5,15.681904761904761,24.4,38.12380952380953,2024-11-22 01:15:15,algorithm_state.pkl
6,-9.5,15.659615384615384,23.7,38.66346153846154,2024-11-22 01:37:48,algorithm_state.pkl
7,-5.0,16.114851485148517,27.7,39.68316831683168,2024-11-22 02:02:13,algorithm_state.pkl
8,-4.5,16.55,23.4,40.27,2024-11-22 18:54:56,algorithm_state.pkl
9,-8.5,16.72596153846154,25.0,38.35576923076923,2024-11-22 19:23:10,algorithm_state.pkl
10,-7.5,17.402,26.2,43.86,2024-11-23 00:55:19,algorithm_state.pkl
11,-6.0,15.932,26.5,41.24,2024-11-23 01:19:53,algorithm_state.pkl
12,-6.0,16.340999999999998,25.0,41.99,2024-11-23 01:46:06,algorithm_state.pkl
13,1.5,17.113,24.7,43.52,2024-11-23 02:13:19,algorithm_state.pkl
14,-9.5,14.934615384615382,22.5,38.66346153846154,2024-11-23 02:39:20,algorithm_state.pkl
15,-9.5,7.8516556291390724,24.5,26.344370860927153,2024-11-23 03:05:03,algorithm_state.pkl
16,-9.0,12.00413223140496,22.5,33.19834710743802,2024-11-23 03:28:59,algorithm_state.pkl
17,-9.0,12.894736842105264,25.2,34.99122807017544,2024-11-23 03:55:36,algorithm_state.pkl
18,-9.5,8.978518518518518,24.5,29.644444444444446,2024-11-23 04:18:26,algorithm_state.pkl
19,-9.5,5.247826086956522,24.7,24.795031055900623,2024-11-23 04:41:13,algorithm_state.pkl
20,-9.5,12.139999999999999,22.5,33.11666666666667,2024-11-23 05:07:55,algorithm_state.pkl
21,-9.5,15.404000000000002,24.2,43.8,2024-11-23 05:33:12,algorithm_state.pkl
22,-9.5,16.958,24.5,40.43,2024-11-23 05:57:28,algorithm_state.pkl
23,-9.0,16.223000000000003,24.5,41.07,2024-11-23 06:24:04,algorithm_state.pkl
24,-5.0,17.923,24.7,47.35,2024-11-23 06:49:55,algorithm_state.pkl
25,-9.0,17.209,26.9,47.92,2024-11-23 07:15:49,algorithm_state.pkl
26,-1.0,17.460576923076925,25.2,38.45192307692308,2024-11-23 07:40:42,algorithm_state.pkl
27,-9.0,16.2,26.2,43.44,2024-11-23 08:07:07,algorithm_state.pkl
28,-9.0,16.992,26.2,44.11,2024-11-23 08:33:29,algorithm_state.pkl
29,-9.0,12.525225225225228,27.7,36.468468468468465,2024-11-23 09:00:00,algorithm_state.pkl
30,-9.5,14.279674796747969,23.4,32.32520325203252,2024-11-23 09:23:39,algorithm_state.pkl
31,-9.0,15.017599999999998,23.7,31.992,2024-11-23 09:49:29,algorithm_state.pkl
32,-9.5,15.166386554621848,23.2,33.81512605042017,2024-11-23 10:15:25,algorithm_state.pkl
33,-10.5,13.003875968992247,24.7,30.88372093023256,2024-11-23 10:43:13,algorithm_state.pkl
34,-9.0,14.580733944954128,28.5,36.57798165137615,2024-11-23 11:13:29,algorithm_state.pkl
35,-9.0,13.660194174757281,25.5,38.679611650485434,2024-11-23 11:44:15,algorithm_state.pkl
