lengthInMeters,travelTimeInSeconds,departureTime,noTrafficTravelTimeInSeconds,historicTrafficTravelTimeInSeconds,liveTrafficIncidentsTravelTimeInSeconds
778,60,2024-07-03T00:00:00+02:00,60,60,60
778,60,2024-07-03T00:30:00+02:00,60,60,60
778,60,2024-07-03T01:00:00+02:00,60,60,60
778,60,2024-07-03T01:30:00+02:00,60,60,60
778,60,2024-07-03T02:00:00+02:00,60,60,60
778,60,2024-07-03T02:30:00+02:00,60,60,60
778,60,2024-07-03T03:00:00+02:00,60,60,60
778,60,2024-07-03T03:30:00+02:00,60,60,60
778,60,2024-07-03T04:00:00+02:00,60,60,60
778,61,2024-07-03T04:30:00+02:00,60,61,61
778,61,2024-07-03T05:00:00+02:00,60,61,61
778,61,2024-07-03T05:30:00+02:00,60,61,61
778,63,2024-07-03T06:00:00+02:00,60,63,63
778,69,2024-07-03T06:30:00+02:00,60,69,69
778,81,2024-07-03T07:00:00+02:00,60,81,81
778,98,2024-07-03T07:30:00+02:00,60,98,98
778,114,2024-07-03T08:00:00+02:00,60,114,114
778,114,2024-07-03T08:30:00+02:00,60,114,114
778,107,2024-07-03T09:00:00+02:00,60,107,107
778,100,2024-07-03T09:30:00+02:00,60,100,100
778,95,2024-07-03T10:00:00+02:00,60,95,95
778,94,2024-07-03T10:30:00+02:00,60,94,94
778,93,2024-07-03T11:00:00+02:00,60,93,93
778,93,2024-07-03T11:30:00+02:00,60,93,93
778,92,2024-07-03T12:00:00+02:00,60,92,92
778,90,2024-07-03T12:30:00+02:00,60,90,90
778,90,2024-07-03T13:00:00+02:00,60,90,90
778,89,2024-07-03T13:30:00+02:00,60,89,89
778,89,2024-07-03T14:00:00+02:00,60,89,89
778,89,2024-07-03T14:30:00+02:00,60,89,89
778,90,2024-07-03T15:00:00+02:00,60,90,90
778,90,2024-07-03T15:30:00+02:00,60,90,90
778,93,2024-07-03T16:00:00+02:00,60,93,93
778,96,2024-07-03T16:30:00+02:00,60,96,96
778,99,2024-07-03T17:00:00+02:00,60,99,99
778,101,2024-07-03T17:30:00+02:00,60,101,101
778,102,2024-07-03T18:00:00+02:00,60,102,102
778,99,2024-07-03T18:30:00+02:00,60,99,99
778,95,2024-07-03T19:00:00+02:00,60,95,95
778,91,2024-07-03T19:30:00+02:00,60,91,91
778,85,2024-07-03T20:00:00+02:00,60,85,85
778,80,2024-07-03T20:30:00+02:00,60,80,80
778,73,2024-07-03T21:00:00+02:00,60,73,73
778,66,2024-07-03T21:30:00+02:00,60,66,66
778,60,2024-07-03T22:00:00+02:00,60,60,60
778,60,2024-07-03T22:30:00+02:00,60,60,60
778,60,2024-07-03T23:00:00+02:00,60,60,60
778,60,2024-07-03T23:30:00+02:00,60,60,60
