Flow ID,Start Edge ID,End Edge ID,Start From Lat,Start From Lon,Start To Lat,Start To Lon,End From Lat,End From Lon,End To Lat,End To Lon,Start Count,End Count
6_1,-25756829#1,1225908703#1,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,9.0,0.0
6_2,-25756829#1,1236614318#2,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,9.0,0.0
6_3,-25756829#1,25621696#1,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,9.0,0.0
6_4,-25756829#1,25756829#1,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,9.0,0.0
6_5,-25756829#1,25817868#5,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,9.0,0.0
6_6,-25756829#1,30655159,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,9.0,0.0
6_7,-25756829#1,417312024#5,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,9.0,0.0
6_8,-25756829#1,448630413#22,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,9.0,0.0
6_9,-25756829#1,561837466,41.0997800968384,16.87658423938435,41.09987548076815,16.876551351817184,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,9.0,0.0
6_10,-25817868#5,-31951173#0,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_11,-25817868#5,1225908703#1,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_12,-25817868#5,1236614318#2,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_13,-25817868#5,25621696#1,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_14,-25817868#5,25756829#1,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_15,-25817868#5,25817868#5,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_16,-25817868#5,30655159,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_17,-25817868#5,417312024#5,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
6_18,-25817868#5,448630413#22,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
6_19,-25817868#5,561837466,41.0963865057696,16.882438199943337,41.095606823823886,16.878150943377637,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,10.0,0.0
6_20,-417312024#6,-31951173#0,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_21,-417312024#6,1225908703#1,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_22,-417312024#6,1236614318#2,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_23,-417312024#6,25621696#1,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_24,-417312024#6,25756829#1,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_25,-417312024#6,25817868#5,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_26,-417312024#6,30655159,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_27,-417312024#6,417312024#5,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
6_28,-417312024#6,448630413#22,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
6_29,-417312024#6,561837466,41.09061326405001,16.869886641915734,41.09216852441467,16.870167328657836,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,10.0,0.0
6_30,-561837466,-31951173#0,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_31,-561837466,1225908703#1,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_32,-561837466,1236614318#2,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_33,-561837466,25621696#1,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_34,-561837466,25756829#1,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_35,-561837466,25817868#5,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_36,-561837466,30655159,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_37,-561837466,417312024#5,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
