flow_id,start_point_lat,start_point_lon,via_point_1_lat,via_point_1_lon,via_point_2_lat,via_point_2_lon,end_point_lat,end_point_lon
flow_5_0,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10561139136639,16.860522875069222,41.10586594045665,16.860740368222224
flow_5_1,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10593006633324,16.86024451803452,41.1061540374003,16.860263940525165
flow_5_2,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10529931263373,16.864197719579735,41.105358063618205,16.8639291776279
flow_5_3,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.1094627412817,16.866643418109717,41.109145712663846,16.866535828107896
flow_5_4,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10949006583287,16.860629422625397,41.11163796896053,16.862535602408425
flow_5_5,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.1084192109197,16.864915502792314,41.10833845965415,16.864946086143913
flow_5_6,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.104628432580256,16.864632211357712,41.10471595316798,16.864645286345713
flow_5_7,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10471595316798,16.864645286345713,41.10482759798206,16.864586998125468
flow_5_8,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10530898236287,16.864507375939425,41.10554708846225,16.864538287566845
flow_5_9,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10912696164381,16.86880864147947,41.10856970665349,16.868667790168395
flow_5_10,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10895239218255,16.86221911717674,41.10894268872457,16.86225659494897
flow_5_11,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10833845965415,16.864946086143913,41.10833200545767,16.864777271379552
flow_5_12,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10824709326599,16.86294433106446,41.10819079997804,16.86228690958613
flow_5_13,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10782776217365,16.86523947757342,41.10785184362109,16.86547667119293
flow_5_14,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10785321351032,16.86554780645669,41.107858556989214,16.86568502986514
flow_5_15,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.104613512551694,16.867304504076483,41.10450067190532,16.868197409823733
flow_5_16,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.103272808734914,16.86478843229521,41.10326869322043,16.864875721506277
flow_5_17,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10326869322043,16.864875721506277,41.10326306112503,16.86499547697651
flow_5_18,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10585670751274,16.866054557864008,41.10586778387464,16.865926854105435
flow_5_19,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10499011159529,16.86585948824938,41.10483199737708,16.8658838295608
flow_5_20,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10641564822287,16.8613154812676,41.10710483419146,16.861363888027807
flow_5_21,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10914574762715,16.86574982248076,41.10906564507099,16.86691322434958
flow_5_22,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10593974387052,16.86510993658547,41.10637833713364,16.865208689087556
flow_5_23,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10912734733775,16.863063779201443,41.10970529896603,16.86326757450766
flow_5_24,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10724968510657,16.861006427195438,41.10834939661959,16.861073572647502
flow_5_25,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10789333241272,16.86291336901386,41.107812671096845,16.86345068308876
flow_5_26,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10708624166555,16.866809147339314,41.10707862373311,16.86759574699857
flow_5_27,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10793919315882,16.86772898735496,41.10803228893905,16.867731507230168
flow_5_28,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10803228893905,16.867731507230168,41.10843334313823,16.867723226014
flow_5_29,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.10928540564486,16.867758931986803,41.11040987403336,16.867987672581428
flow_5_30,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.1045372400796,16.865201946666215,41.10454196713804,16.86509359531177
flow_5_31,41.10450067190532,16.868197409823733,41.104613512551694,16.867304504076483,41.11163796896053,16.862535602408425,41.10949006583287,16.860629422625397
flow_5_32,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.10561139136639,16.860522875069222,41.10586594045665,16.860740368222224
flow_5_33,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.10593006633324,16.86024451803452,41.1061540374003,16.860263940525165
flow_5_34,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.10529931263373,16.864197719579735,41.105358063618205,16.8639291776279
flow_5_35,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.1094627412817,16.866643418109717,41.109145712663846,16.866535828107896
flow_5_36,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.10949006583287,16.860629422625397,41.11163796896053,16.862535602408425
flow_5_37,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.1084192109197,16.864915502792314,41.10833845965415,16.864946086143913
flow_5_38,41.10483199737708,16.8658838295608,41.10499011159529,16.86585948824938,41.104628432580256,16.864632211357712,41.10471595316798,16.864645286345713
